dataset_id,dataset_family,name,source_url,source_type,modality,sample_type,matrix_type,pure_or_mixture,raw_available,processed_available,license,priority,status,notes,provenance_url,raw_source_url
ramanbiolib,reference,RamanBioLib Open Biomolecule Raman Library,https://zenodo.org/records/17280080,zenodo,Raman,mixed biomolecule library,biomolecule references,pure,yes,yes,open,high,todo,Core biomolecule reference library,https://zenodo.org/records/17280080,https://github.com/mteranm/ramanbiolib
raman_knowledge_core,knowledge,Raman Knowledge Core,,local,Raman,literature-derived knowledge,semantic knowledge layer,mixed,local,no,curated,high,todo,Local curated Raman knowledge package for peak assignments and cautious semantic interpretation,,
shine_ev_sers,biosample,SPECTRA/SHINE EV Hepatotoxicity Dataset,https://zenodo.org/records/14768753,zenodo,SERS,extracellular vesicles,cell culture EVs,mixture,yes,yes,CC-BY,high,todo,APAP hepatotoxicity EV-SERS study,,
small2023_ev,biosample,Small 2023 EV Cell-Line Dataset,https://zenodo.org/records/7011380,zenodo,SERS,extracellular vesicles,cell-line EVs,mixture,yes,yes,unknown,high,todo,Five cell lines plus mixture experiments,,
serum_ag_colloids,biosample,Adsorption of Serum Components on Ag Colloids,https://zenodo.org/records/17374939,zenodo,SERS,serum,human serum,mixture,yes,yes,open,medium,todo,Serum on Ag colloids dataset,,
serum_protocol_comparison,biosample,Direct Comparison of Human Serum SERS Protocols,https://zenodo.org/records/11143059,zenodo,SERS,serum,commercial human serum,mixture,yes,no,open,medium,todo,Single-serum multi-protocol comparison archive with 75 BWtek TXT spectra across five protocols,,
cspp_serum,biosample,CSPP Label-free Serum SERS Method Archive,https://zenodo.org/records/5644790,zenodo,SERS,serum,human serum,mixture,yes,no,open,medium,todo,Serum-focused centrifugal silver plasmonic paper archive spanning processing comparison optimization strip variability shelf-life and metabolite-spiking figure families,,
serum_ag_colloids_grounding,grounding,Adsorption of Serum Components on Ag Colloids Grounding Assets,https://zenodo.org/records/17374939,zenodo,SERS,controlled grounding references,Ag colloid controlled SERS references,mixed,yes,yes,open,medium,todo,Selected non-biosample grounding folders from the serum Ag colloids archive,,
serum_ag_colloids_literature_grounding,grounding,Adsorption of Serum Components on Ag Colloids Literature Grounding Assets,https://zenodo.org/records/17374939,zenodo,mixed,literature-backed grounding support,Ag colloid literature and digitized support,mixed,yes,yes,open,medium,todo,Deferred literature and digitized literature support folders from the serum Ag colloids archive for tier-2 grounding evidence,,
sers_fingerprint_workingpaper_support,grounding,SERS Fingerprint Working Paper Support,https://zenodo.org/records/14294417,zenodo,document,literature-backed grounding support,working-paper support,mixed,yes,no,CC-BY-4.0,low,todo,PDF-only working paper support about selected metabolite SERS fingerprints compared to Raman references. No numeric spectral package was released in the inspected Zenodo record.,,
sers24_metabolite_support,grounding,SERS Database of 24 Metabolites Support,https://pubmed.ncbi.nlm.nih.gov/37918093/,paper_support,mixed,literature-backed grounding support,metabolite SERS database support,mixed,yes,no,unknown,medium,todo,Support-only integration for the 24-metabolite SERS database paper using grounded article metadata and abstract text. No downloadable numeric spectral package was found in this pass.,,
ergothioneine_serum,biosample,Ergothioneine in Human Serum SERS,https://zenodo.org/records/13791050,zenodo,SERS,serum,human serum,mixture,yes,yes,open,medium,todo,Metabolite in serum dataset,,
hcc_serum,biosample,Hepatocellular Carcinoma Serum SERS,https://zenodo.org/records/4277797,zenodo,SERS,serum,human serum,mixture,yes,yes,open,medium,holdout,HCC serum classification dataset retained as a holdout evaluation asset on SSD_Rad. Skip by default in rebuild/download/ingest unless explicitly requested.,,
diabetes_plasma_ev_sers,biosample,Diabetes Plasma EV Multimodal SERS Dataset,https://zenodo.org/records/18945379,zenodo,SERS,extracellular vesicles,plasma EVs,mixture,yes,no,CC-BY-4.0,high,todo,Multimodal Zenodo release; initial GAIRA onboarding uses the grounded Figure 3 SERS MAT assets only,,
