analyte,broad_family,subclass,detection_confidence,detection_tier,detection_pass,latent_identity_recovered,component_recovered,mss_present_top3,mss_motif_recovered,expected_mss,theme_present_top3,theme_recovered,expected_theme,perturbation_status,serum_tier,matrix_recovered,transfer_case,transfer_note,roadmap_group
acetoacetate,organic_acid,carboxylic_acid,0.6538,GOOD,True,False,False,True,False,carboxylate_organic_acid,True,False,organic_acid_metabolism,not tested,moderate,False,B · representation-limited (promising),Detectable with broad chemistry present but exact identity lost — a learned Raman→SERS transfer model may help.,potentially recoverable (transfer worth trying)
acetyl-coa,cofactor,purine_cofactor,0.5351,MODERATE,True,False,False,True,False,sulfur_heterocycle_thione,True,False,nucleic_purine,not tested,weak,False,B · representation-limited (promising),Detectable with broad chemistry present but exact identity lost — a learned Raman→SERS transfer model may help.,potentially recoverable (transfer worth trying)
adenine,purine,aminopurine,0.6306,MODERATE,True,False,False,False,False,purine_ring_breathing,True,False,nucleic_purine,dose-response,strong,True,B · representation-limited (promising),Detectable with broad chemistry present but exact identity lost — a learned Raman→SERS transfer model may help.,potentially recoverable (transfer worth trying)
alanine,amino_acid,aliphatic_amino_acid,0.3788,UNDETECTABLE,False,False,False,False,False,protein_amide_backbone,False,False,protein_peptide,not tested,weak,False,A · measurement-limited,Ag-SERS carries no reproducible signal — no transfer model helps; needs a better substrate/observation channel.,impossible (measurement-limited)
albumin,protein,protein,0.8525,GOOD,True,False,False,False,False,aromatic_ring_residue,False,False,protein_peptide,not tested,strong,True,B · representation-limited (hard),Detectable but no expected motif/theme present — transfer help uncertain; representation gap is large.,probably impossible (no chemistry present)
arginine,amino_acid,basic_amino_acid,0.4581,POOR,False,False,False,False,False,protein_amide_backbone,False,False,protein_peptide,not tested,moderate,False,A · measurement-limited,Ag-SERS carries no reproducible signal — no transfer model helps; needs a better substrate/observation channel.,probably impossible (weak signal)
ascorbate,organic_acid,carboxylic_acid,0.5058,MODERATE,True,False,False,True,False,carboxylate_organic_acid,True,False,organic_acid_metabolism,not tested,weak,False,B · representation-limited (promising),Detectable with broad chemistry present but exact identity lost — a learned Raman→SERS transfer model may help.,potentially recoverable (transfer worth trying)
cholesterol,lipid,sterol,0.8057,GOOD,True,False,False,False,False,sterol_ring_system,False,False,sterol_membrane,not tested,weak,False,B · representation-limited (hard),Detectable but no expected motif/theme present — transfer help uncertain; representation gap is large.,probably impossible (no chemistry present)
citrate,organic_acid,carboxylic_acid,0.4801,POOR,False,False,False,True,False,carboxylate_organic_acid,True,False,organic_acid_metabolism,not tested,moderate,False,A · measurement-limited,Ag-SERS carries no reproducible signal — no transfer model helps; needs a better substrate/observation channel.,probably impossible (weak signal)
coenzyme a,cofactor,purine_cofactor,0.3541,UNDETECTABLE,False,False,False,True,False,sulfur_heterocycle_thione,True,False,nucleic_purine,not tested,moderate,False,A · measurement-limited,Ag-SERS carries no reproducible signal — no transfer model helps; needs a better substrate/observation channel.,impossible (measurement-limited)
creatinine,small_nitrogenous,guanidino_small_n,0.4213,POOR,False,True,False,False,False,unassigned,True,False,organic_acid_metabolism,not tested,weak,False,A · measurement-limited,Ag-SERS carries no reproducible signal — no transfer model helps; needs a better substrate/observation channel.,already recoverable
cysteine,amino_acid,sulfur_amino_acid,0.4266,POOR,False,False,False,True,False,sulfur_heterocycle_thione,False,False,protein_peptide,not tested,moderate,False,A · measurement-limited,Ag-SERS carries no reproducible signal — no transfer model helps; needs a better substrate/observation channel.,probably impossible (weak signal)
ergothioneine,cofactor,thione,0.9723,GOOD,True,False,False,False,False,sulfur_heterocycle_thione,False,False,sulfur_antioxidant,dose-response,strong,True,B · representation-limited (promising),Detectable with broad chemistry present but exact identity lost — a learned Raman→SERS transfer model may help.,potentially recoverable (transfer worth trying)
fructose,saccharide,monosaccharide,0.4394,POOR,False,False,False,False,False,glycan_co_network,True,False,saccharide_glycan,not tested,moderate,False,A · measurement-limited,Ag-SERS carries no reproducible signal — no transfer model helps; needs a better substrate/observation channel.,probably impossible (weak signal)
fructose-6-phosphate,saccharide,phosphorylated_sugar,0.3528,UNDETECTABLE,False,False,False,False,False,glycan_co_network,True,False,saccharide_glycan,not tested,weak,False,A · measurement-limited,Ag-SERS carries no reproducible signal — no transfer model helps; needs a better substrate/observation channel.,impossible (measurement-limited)
galactose,saccharide,monosaccharide,0.3585,UNDETECTABLE,False,False,False,False,False,glycan_co_network,True,False,saccharide_glycan,not tested,moderate,False,A · measurement-limited,Ag-SERS carries no reproducible signal — no transfer model helps; needs a better substrate/observation channel.,impossible (measurement-limited)
glucose,saccharide,monosaccharide,0.4263,POOR,False,False,False,False,False,glycan_co_network,True,False,saccharide_glycan,not tested,weak,False,A · measurement-limited,Ag-SERS carries no reproducible signal — no transfer model helps; needs a better substrate/observation channel.,probably impossible (weak signal)
glutamate,amino_acid,acidic_amino_acid,0.5027,MODERATE,True,False,False,True,False,carboxylate_organic_acid,True,False,organic_acid_metabolism,not tested,weak,False,B · representation-limited (promising),Detectable with broad chemistry present but exact identity lost — a learned Raman→SERS transfer model may help.,potentially recoverable (transfer worth trying)
glutathione,cofactor,thiol_peptide,0.7366,GOOD,True,True,True,True,False,sulfur_heterocycle_thione,False,False,protein_peptide,not tested,moderate,False,C · already recoverable,Detectable AND exact identity already recovered — transfer unnecessary.,already recoverable
glycerol,polyol,polyol,0.5469,MODERATE,True,False,False,False,False,glycan_co_network,True,False,saccharide_glycan,not tested,moderate,False,B · representation-limited (promising),Detectable with broad chemistry present but exact identity lost — a learned Raman→SERS transfer model may help.,potentially recoverable (transfer worth trying)
glycine,amino_acid,aliphatic_amino_acid,0.5522,MODERATE,True,False,False,False,False,protein_amide_backbone,False,False,protein_peptide,not tested,weak,False,B · representation-limited (hard),Detectable but no expected motif/theme present — transfer help uncertain; representation gap is large.,probably impossible (no chemistry present)
glycogen,polysaccharide,polysaccharide,0.4817,POOR,False,False,False,False,False,glycan_co_network,True,False,saccharide_glycan,not tested,moderate,False,A · measurement-limited,Ag-SERS carries no reproducible signal — no transfer model helps; needs a better substrate/observation channel.,probably impossible (weak signal)
guanine,purine,oxopurine,0.7659,GOOD,True,False,False,True,False,oxopurine_carbonyl,True,False,nucleic_purine,not tested,strong,True,B · representation-limited (promising),Detectable with broad chemistry present but exact identity lost — a learned Raman→SERS transfer model may help.,potentially recoverable (transfer worth trying)
histidine,amino_acid,aromatic_amino_acid,0.4432,POOR,False,False,False,False,False,aromatic_ring_residue,False,False,protein_peptide,not tested,moderate,False,A · measurement-limited,Ag-SERS carries no reproducible signal — no transfer model helps; needs a better substrate/observation channel.,probably impossible (weak signal)
hydroxyproline,amino_acid,aliphatic_amino_acid,0.2844,UNDETECTABLE,False,False,False,False,False,protein_amide_backbone,False,False,protein_peptide,not tested,strong,True,A · measurement-limited,Ag-SERS carries no reproducible signal — no transfer model helps; needs a better substrate/observation channel.,impossible (measurement-limited)
hypoxanthine,purine,oxopurine,0.6539,GOOD,True,True,True,True,True,purine_ring_breathing,True,False,nucleic_purine,not tested,strong,True,C · already recoverable,Detectable AND exact identity already recovered — transfer unnecessary.,already recoverable
isoleucine,amino_acid,aliphatic_amino_acid,0.4335,POOR,False,False,False,False,False,protein_amide_backbone,False,False,protein_peptide,not tested,moderate,False,A · measurement-limited,Ag-SERS carries no reproducible signal — no transfer model helps; needs a better substrate/observation channel.,probably impossible (weak signal)
lactate,organic_acid,carboxylic_acid,0.6132,MODERATE,True,False,False,True,False,carboxylate_organic_acid,True,False,organic_acid_metabolism,not tested,moderate,False,B · representation-limited (promising),Detectable with broad chemistry present but exact identity lost — a learned Raman→SERS transfer model may help.,potentially recoverable (transfer worth trying)
