axis,axis_short,unique_reference_analytes,measured_reference_spectra,direct_spectral_sources,supporting_literature_sources,unmapped_records,mapping_status,mapping_notes
G01_purine_nucleotide,Purine-nuc,NA,NA,NA,NA,12,ambiguous_8axis_split,Legacy 'purine_nucleotide' splits into Purine-nuc + Purine-met; the 8-axis grounding cannot resolve which of these v11 children each analyte belongs to. Shared pool = 12 unique analytes (not double-counted across children).
G02_purine_metabolite,Purine-met,NA,NA,NA,NA,12,ambiguous_8axis_split,Legacy 'purine_nucleotide' splits into Purine-nuc + Purine-met; the 8-axis grounding cannot resolve which of these v11 children each analyte belongs to. Shared pool = 12 unique analytes (not double-counted across children).
G03_pyrimidine_nucleotide,Pyrimidine,13,NA,NA,NA,0,resolved,1:1 legacy 'pyrimidine_nucleotide' → G03_pyrimidine_nucleotide; 13 unique reference analytes (dominant-axis count from the 202-molecule RamanBioLib table).
G04_nucleic_acid_phosphate,Nuc-phosphate,31,NA,NA,NA,0,resolved,1:1 legacy 'nucleic_acid_backbone' → G04_nucleic_acid_phosphate; 31 unique reference analytes (dominant-axis count from the 202-molecule RamanBioLib table).
G05_glycan_carbohydrate,Glycan,25,NA,NA,NA,0,resolved,1:1 legacy 'glycan_carbohydrate' → G05_glycan_carbohydrate; 25 unique reference analytes (dominant-axis count from the 202-molecule RamanBioLib table).
G06_protein_peptide_backbone,Protein,81,NA,NA,NA,0,resolved,1:1 legacy 'protein_backbone' → G06_protein_peptide_backbone; 81 unique reference analytes (dominant-axis count from the 202-molecule RamanBioLib table).
G07_aromatic_residue,Aromatic,12,NA,NA,NA,0,resolved,1:1 legacy 'aromatic_amino_acid' → G07_aromatic_residue; 12 unique reference analytes (dominant-axis count from the 202-molecule RamanBioLib table).
G08_lipid_acyl_membrane,Lipid,NA,NA,NA,NA,25,ambiguous_8axis_split,Legacy 'membrane_lipid' splits into Lipid + Sterol; the 8-axis grounding cannot resolve which of these v11 children each analyte belongs to. Shared pool = 25 unique analytes (not double-counted across children).
G09_sterol_neutral_lipid,Sterol,NA,NA,NA,NA,25,ambiguous_8axis_split,Legacy 'membrane_lipid' splits into Lipid + Sterol; the 8-axis grounding cannot resolve which of these v11 children each analyte belongs to. Shared pool = 25 unique analytes (not double-counted across children).
G10_sulfur_thiol_redox,Redox,NA,NA,NA,NA,3,ambiguous_8axis_split,Legacy 'redox_metabolite' splits into Redox + Metabolite; the 8-axis grounding cannot resolve which of these v11 children each analyte belongs to. Shared pool = 3 unique analytes (not double-counted across children).
G11_metabolic_small_molecule,Metabolite,NA,NA,NA,NA,3,ambiguous_8axis_split,Legacy 'redox_metabolite' splits into Redox + Metabolite; the 8-axis grounding cannot resolve which of these v11 children each analyte belongs to. Shared pool = 3 unique analytes (not double-counted across children).
