dataset,v3_1_tab,loader,transformation,raw_or_cached,fit_or_projection,grounding_or_calibration_or_biology,fallback_behavior,placeholder_possible,src_gaira_module,domain_pack,retrieval_weight,substrate_rule,output_affected
grounding_molecule_bsv.csv (202/141 RamanBioLib),Mode1 11-axis space; coverage,data_loader.load_reference_points,8->11 remap,bundled CSV,viz only,molecular_grounding,curated placeholder,yes,reference_metadata/reference_spectra (DB),GAIRA_GROUNDING,n/a,n/a,biochemical space + coverage
warehouse_source_registry.csv (43/28 sources),Mode1 Grounding Corpus Map,data_loader._load_grounding_corpus_real,tiering,SSD CSV,viz,grounding+literature,curated placeholder,yes,grounding_search (DB),GAIRA_GROUNDING,n/a,n/a,corpus map
adenine_sers_control (6 conc),Mode2 Adenine,data_loader._load_adenine_real,crop+interp+build_report,SSD raw CSV (live),projection,calibration,sigmoid placeholder,yes,calibration/loaders,GAIRA_GROUNDING,n/a,ag_sers_purine_amplify 0.65,G01 dose radar
ergothioneine_serum ERG_calibration.csv (55),Mode2 Ergothioneine; equivalence,build_diabetes_equivalence / legacy dose CSV,build_report / cached SAEL,SSD raw + bundled,projection,calibration,sigmoid placeholder,yes,calibration/loaders,GAIRA_SERUM,n/a,ag_sers_thiol_amplify 1.20,G10 dose
serum_ag_colloids / cspp (SAEL contrasts),Mode2 Uric Acid,data_loader.load_uric_acid_validation,8->11 remap of SAEL delta,bundled CSV,cached,calibration,placeholder,yes,grounding(serum_ag_colloids_grounding),GAIRA_SERUM,n/a,ag_sers_carotenoid_overlap 0.85 (caveat),uric-acid contrasts (uricase inconsistent)
pilot4_1 serum_liver mean spectra (212),Mode3 Serum Liver,_load_serum_liver_from_spectra + global_coordinates,build_report + frozen calib,SSD processed CSV,fit(range)+projection,biological,autoresearch BSV then placeholder,yes,inference.py (DB class summaries),GAIRA_SERUM,serum ctx,Ag colloid SERS,serum global coords + effect sizes
pilot2 EV-diabetes sample_query_spectra (63),Mode3 EV Diabetes,_load_ev_diabetes_from_spectra + build_diabetes_equivalence,build_report + frozen calib + cohort z,SSD processed CSV,fit(range)+projection,biological,autoresearch BSV then placeholder,yes,inference.py + ev_context,GAIRA_EV,EV ctx (G08/G09 x0.7),Ag colloid SERS,EV cohort-relative + global
pilot3 SHINE class_mean_bsv (8 cohorts),Mode3 SHINE (reduced),_load_shine_real,autoresearch 3-axis remap,SSD processed CSV,cached,biological,placeholder,yes,autoresearch pilot3,GAIRA_EV,n/a,n/a,reduced-dim heatmap (11-axis radar removed)
global_coordinate_calibration_v1.json (frozen),Mode3/4 global coords,global_coordinates.load_calibration,apply frozen robust-z,bundled JSON,apply(never refit),calibration(derived),GLOBAL COORDINATE UNAVAILABLE,no(explicit),n/a(demo-only),n/a,n/a,n/a,all global coords
"interim/gaira.duckdb (185,686 biosample + 468 grounding + 202 ref)",NONE (demo never reads DB),n/a,n/a,n/a,n/a,all,n/a,n/a,"inference.py, grounding_search, ev/serum_context, sael, expected",all,reranking,n/a,production inference (NOT the demo)
GAIRA_BUILD substrate seeds (42 effects/47 registry),NONE,n/a,n/a,n/a,n/a,substrate_physics,n/a,n/a,src/gaira/substrate/* (LOADABLE but imported by nothing),n/a,n/a,"42 bounded [0.40,1.15]",DORMANT (no runtime importer)
GAIRA_BUILD atlas phase4 YAMLs,NONE,n/a,n/a,n/a,n/a,physics_atlas,n/a,n/a,src/gaira/atlas/atlas_loader (no importer),n/a,n/a,band constraints,DORMANT
