Biochemical state,Representative grounded analytes,Dominant Raman bands (cm⁻¹),Associated biochemical interpretation,Confidence notes
Purine-associated (Nucleic acids),"Adenine, adenine-rich nucleic acid contributions","720–735 (ring breathing), 1335, 1485",Spectral evidence consistent with purine-nucleobase contributions to nucleic-acid backbone signal.,Class-level only; substrate rule dampens Ag-SERS purine amplification ×0.65 to prevent molecule-level overclaim.
Purine-associated (Metabolism),"Uric acid, hypoxanthine, xanthine","640 + 891 (uric-acid doublet), 720 (shared ring)",Spectral evidence consistent with oxidised purine catabolites; overlaps purine-nucleic-acid signal at 720 cm⁻¹.,Class-level; molecule-level call requires the 640 + 891 doublet co-fire.
Pyrimidine-associated,"Cytosine-, thymine-, uracil-rich contributions",780 (ring breathing),Spectral evidence consistent with pyrimidine ring-associated nucleic-acid contributions.,Sensitive to Ag colloid background; class-level interpretation only.
Nucleic acid backbone-associated,Phosphate-backbone-associated features,1080 (PO₂⁻ symmetric stretch),Spectral evidence consistent with nucleic-acid phosphate backbone; overlaps glycan C–O in the same region.,Class-level; co-band with nucleobase support required for stronger inference.
Glycan-associated,"Glucose, other monosaccharide contributions","517, 845, 1125 (C–O / C–C / anomeric)",Spectral evidence consistent with glycan / carbohydrate-related contributions to the EV corona.,Overlap with lactate 845 cm⁻¹ requires co-band at 1125 for molecule-level specificity.
Protein-associated,Albumin- and peptide-backbone-associated features,"1230–1300 (amide III), 1655 (amide I)",Spectral evidence consistent with protein/peptide backbone contributions to the plasma-EV corona.,Amide-I overlaps with lipid C=C; substrate physics rule soft-dampens in protein-dominant matrices.
Aromatic biomolecule-associated,"Tyrosine-, phenylalanine-, tryptophan-rich features","1003 (Phe ring), 830/850 (Tyr doublet)",Spectral evidence consistent with aromatic amino-acid contributions.,"Phe 1003 is a strong, isolated marker; Tyr doublet ratio is environment-sensitive."
Membrane lipid-associated,"Oleic-acid-like unsaturated acyl chains, membrane-lipid contributions","1265, 1440 (CH₂), 1655 (C=C), 1745 (ester carbonyl)",Spectral evidence consistent with acyl / membrane-lipid contributions.,1655 overlaps amide-I; class-level unless multiple lipid-anchor bands co-fire.
Sterol-associated,"Cholesterol, cholesteryl-ester-associated features","548 (sterol ring), 700, 1130, 1665","Spectral evidence consistent with sterol / neutral-lipid contributions, distinct from acyl lipids.",The 548 cm⁻¹ ring deformation is required for sterol-specific interpretation.
Redox-associated,"Ergothioneine, glutathione, other thiol/thione contributions","490–505 (C–S / thione), 720 (imidazole support)",Spectral evidence consistent with sulfur/thiol/redox-active biochemical contributions.,Motif window tightened to 490–505 cm⁻¹ and the Ag-SERS thiol boost gated by required 720 cm⁻¹ imidazole co-band; anchor at 495 alone is not sufficient.
Small molecule-associated,"Lactate, acetate, pyruvate-like small-molecule contributions","845 + 925 (C–C–O), 1043, 1090, 1455",Spectral evidence consistent with small-molecule metabolite contributions.,Overlap with glycan anomeric C–H requires 845 + 925 co-fire for lactate-specific interpretation.
