dataset_id,canonical_name,top_level_role,secondary_role,domain,biosample,raman_or_sers,raw_path,raw_file_count,spectral_record_count,independent_sample_count,independent_patient_count,independent_analyte_count,currently_used_v3_1,currently_used_src_gaira,evidence_tier,provenance_status,known_limitations
ramanbiolib_202,RamanBioLib reference (202 rows/141 compounds),molecular_grounding,,reference,pure compounds,Raman,/Volumes/SSD_Rad/GAIRA_DATA/raw/ramanbiolib + repo grounding_molecule_*.csv,202,202 rows / 141 unique,141,n/a,141,"YES(space,coverage)",reference_metadata(DB),1,complete(DOI 10.1002/jrs.1734),spontaneous Raman only; 6/11 axes inherited splits
warehouse_43,Grounding evidence warehouse,molecular_grounding,supporting_literature,mixed,mixed,mixed,.../warehouse_source_registry.csv,43 rows / 28 unique ids,4 sources w/ measured,n/a,n/a,~85,YES(corpus map),grounding_search(DB),1,partial,30 rows=15 duplicated papers; only 1 has structured spectra
adenine_sers_control,Adenine bAgNP dose,calibration,molecular_grounding,reference,adenine,SERS,/Volumes/SSD_Rad/GAIRA_DATA/raw/adenine_sers_control,17,17,6-7 conc,n/a,1,YES(live),calibration/loaders,1,complete,single substrate; dampen unvalidated
european_adenine,European multi-instrument adenine,calibration,,reference,adenine,SERS,/Volumes/SSD_Rad/GAIRA_DATA/raw/european_multi_instrument_adenine,7032 txt + ILSdata,3516/7032,43 conc x 15 labs,n/a,1,ablation only,unknown,1,complete,4 substrates/2 lasers UNUSED (demo blind)
ergothioneine_serum,Ergothioneine dose,calibration,,reference,ergothioneine,SERS,/Volumes/SSD_Rad/GAIRA_DATA/raw/ergothioneine_serum,1(55 rows),55,11 conc x5,n/a,1,YES(live),calibration/loaders,1,complete,thiol boost heuristic
serum_ag_colloids,Gobbato serum Ag-colloid (uricase/hypoxanthine),calibration,molecular_grounding+biological,serum,serum+metabolites,SERS,/Volumes/SSD_Rad/GAIRA_DATA/raw/serum_ag_colloids,907 txt,907,1 serum pool + 53 metabolites + 81 donors,n/a,53,YES(SAEL contrasts),serum_ag_colloids_grounding(DB 368),1,complete,uricase inconsistent; empty raw grounding folder (in DB)
cspp_serum,CSPP serum spikes,calibration,,serum,pooled serum,SERS,/Volumes/SSD_Rad/GAIRA_DATA/raw/cspp_serum,1056+5 fig,1056,Bkg/Erg/Hyp,n/a,2,YES(SAEL),unknown,1,complete,conc confounded
sers_metabolite_63,63-metabolite SERS panel (NIHMS1547448),molecular_grounding,calibration,reference,metabolites,SERS,/Volumes/SSD_Rad/GAIRA_DATA/raw/sers_metabolite_63,2 xlsx,63,n/a,n/a,63,grounding(64),grounding,1,complete,1 avg/analyte
amino_acid_raman_grounding,20-analyte amino-acid Raman,molecular_grounding,calibration,reference,AA/metabolites,Raman,/Volumes/SSD_Rad/GAIRA_DATA/raw/amino_acid_raman_grounding,2 xlsx,20,n/a,n/a,20,grounding(20),grounding,1,complete,1/analyte; Raman
metabolite_sers63_support,Fityk fit products (NOT spectra),supporting_literature,,reference,fit products,n/a,/Volumes/SSD_Rad/GAIRA_DATA/raw/metabolite_sers63_support,127,0 spectra,n/a,n/a,n/a,no,no,2,complete,"peak-fit products, not measured spectra"
