dataset_id,domain,biosample,disease_or_perturbation,modality,substrate,excitation_nm,n_patients,n_donors,n_samples,n_timepoints,n_conditions,n_raw_spectra,n_processed_spectra,spectra_per_sample_distribution,technical_replicates,biological_replicates,paired_samples,longitudinal,metadata_available,labels_available,currently_used_v3_1,currently_used_src_gaira,used_for_global_scale_fit,used_only_for_projection,known_leakage_or_duplication_risk
diabetes_plasma_ev_sers,plasma-EV,plasma EV,T2D (Impact/Strong-D arms),SERS,Ag,,63(39+24; 40 meta Impact),63,63,1,2,31834,63,"441(x32),1089(x5),811,882",map scans,1 sample/patient,no,no,"yes(bmi,hba1c,race,sex,age)",Impact/Strong-D,YES(63 per-sample),DB biosample,YES,no,map scans not independent; 1 Impact patient no raw
shine_ev_sers,EV cell-line,EV/cell,hepatotoxicity APAP dose x day,SERS,Ag,,cell-line,cell-line,~41 wells,"D0,D1,D2(no D3/D7)",4 doses x 3 days,23646,23646,"810-2284 per (set,day,dose)",single-point map scans,cell wells,no,D0-D2,"dose,day","D{0,1,2}_C{0,10,20,40}","YES(8 class means, reduced-dim)",DB,no,yes(collapsed),3-axis collapse; no per-sample mean; not recomputable
small2023_ev,EV cell-line,cell-line EV mixtures,two-component EV mixtures,SERS,Ag,,cell-line,probes,5-6 cell lines/fractions,1,6 mixture fractions,105140 (P1 19557 + P2 85583),9467 + 85583,c00..c100,augmented/synthetic,few cell lines,no,no,fraction,cell-line/fraction,no,pilot1/1b (DB),no,no,AUGMENTED (identical 14884 counts); NOT independent measurements
cca_hcc_lm_serum_sers,serum,serum,liver cancers HA/CCA/HCC/LM,SERS,Ag nanosensor,,218,218,218,1,4,234(226 bio+8 dilution),213 bsv/212 mean,~1/sample (SER-CCA-58 x2),per-sample avg,1/patient,no,no,class,NC/CCA/HCC/LM,"YES(212 patients, serum liver)",pilot4_1 (DB),YES(212),no,SER-CCA-58 dup (213 vs 212); SER-LM-11 id mismatch
hcc_serum,serum,serum,CTR vs H0T (paired),SERS,Ag batch A/B/C,,91,91,91,1,2,144,0,1-2/sample(53 paired),CTR/H0T pairs,91,yes(53),no,"batch,class",CTR/H0T,no,SKIPPED in registry,no,no,registered but skipped
covid_serum_raman,serum,serum,COVID/Suspected/Healthy,Raman,none(label-free),,~157,~157,~157,1,3,465(159+156+150)+12 tube,309(pilot5),~3 experimenter-avg/patient,3 experimenters x5 avg,~157,no,no,group,COVID/Suspected/Healthy,no,pilot5 (DB),no,yes,pilot5 treats each spectrum as 'patient'(309); Suspected+Tube dropped; true pts ~103
ovarian_plasma_raman_sers,plasma,plasma,ovarian cancer vs healthy,Raman+SERS(paired),AuNPs(SERS),,55,55,55,1,2,770(385 Raman+385 SERS),0,~7 tech/patient x2 modality,yes,55,yes(Raman+SERS),no,class,OC/HC,no,no,no,no,paired modality; ID cross-map unclear
ucla_saliva_sev_gc,salivary sEV,saliva EV,gastric cancer,Raman(single-vesicle),none,785,18,18(17 GC+1 healthy),18,1,2,2231,0,35-326 single-vesicle/donor,single-vesicle scans,18,no,no,donor,GC/healthy,no,global_v2,no,no,severe imbalance (1 healthy donor)
coeliac_faecal_sers,faecal,faeces,coeliac CD/CTR/GFD,SERS,Ag,,27,27,27,1,3,30(27 subj+3 ref),0,1/subject,no,27,no,no,"sex,age,group",CD/CTR/GFD,no,global_v2,no,no,small n
stroke_urine_sers,urine,urine,stroke/infarction vs control,SERS,Ag,532;633,132,132,132,1,2,482 matrix / 210 wdf,0,paired 532/633,2 excitations paired,132,yes(532/633),no,"BMI,HTN,DM,AF,smoking",1=77/0=55,no,global_v2,no,no,rar-recovered
mycoplasma_na_sers,microbial,pathogen culture,nucleic-acid SERS specificity,SERS,Ag,,n/a,44 strains,44 strains,1,44+controls,521(471 org+50 ctrl),0,~10/strain,yes,44 strains,no,no,species/strain,46 labels,no,global_v2,no,no,not human
single_vesicle_ev_raman,EV cell-line,cell-line EV,HRAS vs ctrl,Raman(single-vesicle),none,785,cell-line,6 preps,6,1,2,525,0,single-vesicle,yes,6 preps,no,no,class,ctrl/HRAS,no,global_v2,no,no,rar-recovered
LAB_DATA/Cracked_Au,in-house lab,EV/RNA + 4-MBA reporter,porous-Au substrate dev,SERS,cracked/porous Au,,n/a,n/a,8 wells,1,EV/RNA/Blank + 4-MBA,5252(2500 4-MBA + 2752 EV/RNA/Blank),0,~320/well map,map scans,8 wells,no,no,well,EV/RNA/Blank,no,no(unwired),no,no,in-house; 2500 non-bio 4-MBA; wired nowhere
