dataset_id,modality,excitation_nm,source_path_relative_to_data_root,loader,n_spectra,n_labels,nmf_training,component_annotation,theme_construction,mss_construction,reference_normalization,perturbation_evidence,validation_only,raw_or_cached
RamanBioLib,Raman,"785/1064/532/488/514.5/632.8/457.9/850/633",in-repo: streamlit_apps/gaira_demo/data/grounding_molecule_spectra.parquet,gaira.data.loader.load_ramanbiolib,202,141,YES,indirect (via basis+corpus),no,no,YES,no,no,cached (derived parquet)
gobbato_raman_metabolites,Raman,785,serum_ag_colloids/dataset_spectral_data.zip -> Raman metabolites/,gaira.data.gobbato.load_gobbato_785 (raman subset),153,51,YES,indirect (via basis+corpus),no,no,YES,no,no,raw (zip)
amino_acid_raman_grounding,Raman,785,amino_acid_raman_grounding/aa.xlsx,gaira.foundation.dataset._load_amino_acids,20,19,YES,indirect (via basis+corpus),no,no,YES,no,no,raw (xlsx)
gobbato_sers_metabolites,Ag-SERS,785,serum_ag_colloids/dataset_spectral_data.zip -> SERS metabolites/,spike_validation/spike_lib.load_pure_sers -> phase3_projection_pure_sers.csv,265,53,no,no,no,no,no,no,YES,cached (projection csv)
adenine_ils_sers,Ag/Au-SERS,532/785,european_multi_instrument_adenine/ILSdata.csv,spike_lib.load_ils_adenine -> phase3_projection_ils_adenine.csv,~thousands,1,no,YES (dose fields),YES (25% perturbation),no,no,YES,YES,cached (projection csv + perturbation tables)
ergothioneine_sers,Ag-SERS,785,ergothioneine_serum/ERG_calibration.csv,spike_lib.load_ergothioneine -> phase3_projection_ergothioneine.csv,~55,1,no,YES (dose fields),YES (25% perturbation),no,no,YES,YES,cached (projection csv + perturbation tables)
serum_spike_ins,Ag-SERS,785,serum_ag_colloids/dataset_spectral_data.zip -> SERS spiked serum Merck/,spike_lib.load_spiked_serum -> phase3_projection_spiked_serum.csv,271,~53,no,YES (serum-spike fields),YES (25% perturbation),no,no,YES,YES,cached (projection csv + part2 fingerprints)
serum_baseline,Ag-SERS,785,serum_ag_colloids/dataset_spectral_data.zip -> SERS serum Merck/,spike_lib.load_serum_baseline -> phase3_projection_serum_baseline.csv,15,1,no,no,no,no,no,no,YES,cached (projection csv)
uricase_depletion,Ag-SERS,785,serum_ag_colloids/dataset_spectral_data.zip -> dataset uricase/,spike_lib.load_uricase -> phase3_projection_uricase.csv + part8_uricase.json,20,1,no,YES (depletion fields),indirect,no,no,YES,YES,cached (projection csv + part8_uricase.json)
raman_knowledge_core,Raman (peak assignments; self-authored),n/a,raman_knowledge_core/peak_assignments.csv,gaira.foundation.dataset.load_peak_assignments,0 (peak table),n/a,no,no,corroboration only (foundation C3 axes),no,no,no,no,raw (csv; NOT used by the engine interpretation)
covid_serum_raman,Raman (serum),785,covid_serum_raman/,gaira.foundation.dataset.load_serum_raman,~477,4 groups,no,no,no,no,no,no,YES (foundation C7 OOD/blank),raw (txt; projection only)
